City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
399,Mandera,KE,80.76,broken clouds,3.94,41.87,Kornesh Hotel and Lodging
402,Pizarro,CO,81.45,broken clouds,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
404,Labelle,US,84.0,clear sky,26.76,-81.44,La Belle Motel
407,Porbandar,IN,83.39,light rain,21.64,69.61,Lords Inn Porbandar
408,Abu Kamal,SY,89.6,clear sky,34.45,40.92,محطة التلفاز
409,Port Blair,IN,81.91,overcast clouds,11.67,92.75,Hotel Sentinel
410,Sibu,MY,77.0,few clouds,2.3,111.82,RH HOTEL (4 Star)
418,Sola,VU,80.42,light rain,-13.88,167.55,Leumerus Bungalows
419,Gizo,SB,82.8,moderate rain,-8.1,156.84,Imagination Island
420,Gopalpur,IN,84.78,overcast clouds,19.27,84.92,Swosti Palm Resort
423,Tual,ID,79.07,broken clouds,-5.67,132.75,Grand Vilia Hotel
425,Tahta,EG,82.02,clear sky,26.77,31.5,Møhãmęd Tãręk 🏠
433,Nanakuli,US,87.8,clear sky,21.39,-158.15,Camp Palehua
436,Keti Bandar,PK,84.52,broken clouds,24.14,67.45,Haji laloo memon house
438,Melrose,US,90.0,scattered clouds,42.46,-71.07,Holiday Inn Express Saugus (Logan Airport)
441,Pacific Grove,US,80.01,clear sky,36.62,-121.92,Lovers Point Inn
446,Sini,IN,80.4,overcast clouds,22.8,85.97,"Railway New Colony,sini"
449,Naze,JP,80.6,few clouds,28.37,129.48,奄美ポートタワーホテル
457,Fort Payne,US,75.2,clear sky,34.44,-85.72,Holiday Inn Express & Suites Fort Payne
468,Harindanga,IN,80.6,light rain,22.04,88.32,Sk giasuddin
470,Vigia,BR,86.0,few clouds,-0.86,-48.14,Hotel Bom Jesus
471,Kalmunai,LK,81.88,overcast clouds,7.42,81.82,VS Villa
477,Vanimo,PG,77.9,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
478,Fort-Shevchenko,KZ,87.58,clear sky,44.51,50.26,Oasis hotel Bautino
488,Lakheri,IN,80.53,overcast clouds,25.67,76.17,सोनू किराना स्टोर
493,Elk River,US,84.99,clear sky,45.3,-93.57,Holiday Inn Minneapolis NW-Elk River
494,Aswan,EG,88.12,scattered clouds,24.09,32.91,Nuba Nile
497,Sinnar,SD,78.84,overcast clouds,13.57,33.57,فندق الرشيد
498,Iglesias,IT,77.0,scattered clouds,39.31,8.54,Hotel Sport Village
500,Muisne,EC,76.39,overcast clouds,0.6,-80.03,Quinta Samay
509,Sawakin,SD,84.45,few clouds,19.11,37.33,فندق الدويم
512,Natal,BR,80.6,few clouds,-5.79,-35.21,Villa Park Hotel | Natal
514,North Bend,US,77.0,few clouds,43.41,-124.22,Red Lion Hotel Coos Bay
516,Nhulunbuy,AU,75.2,overcast clouds,-12.23,136.77,East Arnhem Real Estate
519,Asyut,EG,84.78,clear sky,27.18,31.18,Florence Hotel Assiut
529,Tagusao,PH,79.74,overcast clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
533,Guarapari,BR,75.99,clear sky,-20.67,-40.5,Hotel Porto do Sol
534,San Miguelito,PA,86.0,shower rain,9.03,-79.5,Sheraton Grand Panama
543,Dingle,PH,76.24,light rain,11.0,122.67,Camp Pasica
544,Hambantota,LK,80.65,overcast clouds,6.12,81.12,Bungalow 63
546,Buchanan,LR,77.0,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
549,Colares,PT,75.99,clear sky,38.8,-9.45,Arribas Sintra Hotel
552,Lardos,GR,78.8,clear sky,36.09,28.02,Lindos Princess Beach Hotel
553,Pimenta Bueno,BR,88.57,clear sky,-11.67,-61.19,Cristalina Palace Hotel
554,Benito Juarez,MX,78.8,scattered clouds,19.39,-99.17,Room Mate Valentina Hotel
556,Amahai,ID,76.71,moderate rain,-3.33,128.92,Hotel isabella
562,Hudson Bay,CA,79.34,overcast clouds,52.85,-102.38,Norwood Motel LTD
