City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
56,Carnarvon,AU,2020-07-12 21:12:12,-24.87,113.63,57.2,93,27,8.05,scattered clouds,0,0
57,New Norfolk,AU,2020-07-12 21:11:57,-42.78,147.06,39.0,91,0,2.21,clear sky,0,0
58,Muroto,JP,2020-07-12 21:15:49,33.28,134.15,74.1,80,100,17.07,overcast clouds,0,0
59,Aden,YE,2020-07-12 21:14:04,12.78,45.04,87.21,72,80,10.58,broken clouds,0,0
60,Katsuura,JP,2020-07-12 21:14:58,35.13,140.3,69.01,94,75,9.17,light rain,0,0
61,Port Elizabeth,ZA,2020-07-12 21:14:34,-33.92,25.57,46.4,81,0,1.12,clear sky,0,0
62,Butaritari,KI,2020-07-12 21:15:50,3.07,172.79,83.35,77,42,15.26,scattered clouds,0,0
63,Chinhoyi,ZW,2020-07-12 21:15:50,-17.37,30.2,54.41,42,0,5.06,clear sky,0,0
64,Lompoc,US,2020-07-12 21:13:47,34.64,-120.46,78.01,60,0,17.22,clear sky,0,0
65,Victor Harbor,AU,2020-07-12 21:15:06,-35.57,138.62,44.01,92,0,2.89,clear sky,0,0
66,Hilo,US,2020-07-12 21:11:54,19.73,-155.09,79.0,74,90,7.02,light rain,0,0
67,Upernavik,GL,2020-07-12 21:15:50,72.79,-56.15,42.1,83,98,9.89,overcast clouds,0,0
68,Katsina,NG,2020-07-12 21:15:51,12.99,7.6,76.01,71,38,8.79,scattered clouds,0,0
69,Montepuez,MZ,2020-07-12 21:15:51,-13.13,39.0,63.14,94,2,4.76,clear sky,0,0
70,Yaqui,MX,2020-07-12 21:15:51,27.37,-110.17,104.0,24,5,10.29,clear sky,0,0
71,Arraial Do Cabo,BR,2020-07-12 21:14:33,-22.97,-42.03,78.8,61,66,5.82,broken clouds,0,0
